order_id,order_date,order_year,order_month,order_quarter,order_day_of_week,order_week,shipping_date,delivery_date,order_status,customer_id,customer_age,customer_gender,customer_segment,product_id,product_name,product_category,product_subcategory,brand,quantity,unit_price,subtotal,discount_percent,discount_amount,tax_rate,tax_amount,total_amount,profit_margin,cost_of_goods,region,city,state,country,postal_code,sales_rep,sales_channel,payment_method,customer_satisfaction,return_flag,repeat_customer,promotional_offer,days_to_ship,days_to_deliver,profit_amount,revenue_per_customer
ORD010019,2023-10-11,2023,10,Q4,Wednesday,41,2023-10-12,2023-10-21,Returned,CUST001019,26,Female,Enterprise,PROD8251,Outdoor Gear Elite,Sports,Outdoor Gear,BrandE,36,505.9,18212.4,30,5463.72,0.08,1456.99,14205.67,0.34,12324.93,West,Los Angeles,OH,USA,81810,Anna Taylor,Retail Store,Bank Transfer,2.8,0,1,SEASONAL,1,10,4829.9278,14205.67
ORD010020,2024-11-01,2024,11,Q4,Friday,44,2024-11-06,2024-11-09,Pending,CUST001020,26,Male,Government,PROD3503,Dresses Premium,Clothing,Dresses,BrandB,16,550.71,8811.36,10,881.14,0.08,704.91,8635.13,0.12,6236.98,North,Chicago,NC,USA,71069,Chris Martinez,Online,Debit Card,4.3,0,0,SEASONAL,5,8,1036.2155999999998,8635.13
ORD010021,2024-07-17,2024,7,Q3,Wednesday,29,2024-07-22,2024-07-27,Shipped,CUST001021,49,Male,Government,PROD8956,Fitness Equipment Standard,Sports,Fitness Equipment,BrandA,27,1081.06,29188.62,25,7297.15,0.08,2335.09,24226.56,0.22,19397.29,East,Jacksonville,OH,USA,31632,Anna Taylor,Retail Store,Cash,3.1,0,0,None,5,10,5329.8432,24226.56
ORD010022,2025-04-12,2025,4,Q2,Saturday,15,2025-04-16,2025-04-23,Shipped,CUST001022,39,Female,Government,PROD5133,Outdoor Gear Premium,Sports,Outdoor Gear,BrandA,17,764.42,12995.14,5,649.76,0.08,1039.61,13384.99,0.24,11038.7,South,Miami,CA,USA,55870,Emily Brown,Online,Credit Card,4.0,0,0,None,4,11,3212.3976,13384.99
ORD010023,2025-03-21,2025,3,Q1,Friday,12,2025-03-27,2025-04-02,Pending,CUST001023,67,Female,Individual,PROD3683,Pants Elite,Clothing,Pants,BrandC,37,1896.04,70153.48,15,10523.02,0.08,5612.28,65242.74,0.13,39648.24,West,Los Angeles,IL,USA,85470,Chris Martinez,Partner,Debit Card,1.3,0,0,FREESHIP,6,12,8481.5562,65242.74
ORD010024,2025-05-24,2025,5,Q2,Saturday,21,2025-05-25,2025-06-04,Completed,CUST001024,59,Female,Government,PROD9031,Fiction Basic,Books,Fiction,BrandA,35,862.47,30186.45,10,3018.65,0.08,2414.92,29582.72,0.23,20963.98,North,Chicago,GA,USA,30052,Chris Martinez,Retail Store,Cash,4.9,0,1,NEWCUSTOMER,1,11,6804.025600000001,29582.72
ORD010025,2024-09-12,2024,9,Q3,Thursday,37,2024-09-19,2024-09-28,Cancelled,CUST001025,54,Other,Enterprise,PROD1470,Educational Standard,Books,Educational,BrandD,18,1764.45,31760.1,5,1588.01,0.08,2540.81,32712.9,0.36,21412.29,South,Miami,FL,USA,56507,David Wilson,Phone,PayPal,4.5,0,0,SEASONAL,7,16,11776.644,32712.9
ORD010026,2024-01-05,2024,1,Q1,Friday,1,2024-01-11,2024-01-20,Completed,CUST001026,46,Male,Enterprise,PROD4630,Laptops Premium,Electronics,Laptops,BrandD,49,488.24,23923.76,15,3588.56,0.08,1913.9,22249.1,0.31,15393.3,West,Phoenix,MI,USA,58368,Anna Taylor,Phone,Bank Transfer,5.0,1,1,FREESHIP,6,15,6897.221,22249.1
ORD010027,2025-06-12,2025,6,Q2,Thursday,24,2025-06-13,2025-06-23,Pending,CUST001027,78,Other,Small Business,PROD4545,Sports Clothing Standard,Sports,Sports Clothing,BrandD,8,1445.36,11562.88,10,1156.29,0.08,925.03,11331.62,0.18,8803.26,East,Washington DC,NC,USA,88222,David Wilson,Online,Debit Card,2.2,0,0,FREESHIP,1,11,2039.6916,11331.62
ORD010028,2023-07-08,2023,7,Q3,Saturday,27,2023-07-14,2023-07-23,Returned,CUST001028,24,Male,Enterprise,PROD8690,Non-Fiction Standard,Books,Non-Fiction,BrandD,36,591.35,21288.6,5,1064.43,0.08,1703.09,21927.26,0.23,14369.13,North,New York,CA,USA,43092,Anna Taylor,Online,Credit Card,2.6,0,0,SAVE10,6,15,5043.2698,21927.26
ORD010029,2023-11-23,2023,11,Q4,Thursday,47,2023-11-28,2023-12-03,Cancelled,CUST001029,67,Other,Government,PROD8253,Educational Pro,Books,Educational,BrandC,36,1531.24,55124.64,20,11024.93,0.08,4409.97,48509.68,0.36,43513.64,South,Miami,IL,USA,84531,Jennifer Lee,Online,Cash,4.8,0,0,SAVE10,5,10,17463.4848,48509.68
ORD010030,2024-03-20,2024,3,Q1,Wednesday,12,2024-03-24,2024-04-02,Pending,CUST001030,36,Male,Enterprise,PROD5632,Laptops Elite,Electronics,Laptops,BrandD,5,321.5,1607.5,15,241.12,0.08,128.6,1494.98,0.12,1001.68,South,New Orleans,IL,USA,91927,Jennifer Lee,Retail Store,Bank Transfer,1.5,0,0,FREESHIP,4,13,179.39759999999998,1494.98
ORD010031,2023-11-16,2023,11,Q4,Thursday,46,2023-11-19,2023-11-27,Returned,CUST001031,78,Female,Government,PROD8172,Smartphones Elite,Electronics,Smartphones,BrandA,29,257.46,7466.34,25,1866.58,0.08,597.31,6197.07,0.28,5371.79,East,Charlotte,PA,USA,89129,David Wilson,Online,Credit Card,1.9,1,0,FREESHIP,3,11,1735.1796000000002,6197.07
ORD010032,2025-02-03,2025,2,Q1,Monday,6,2025-02-09,2025-02-18,Cancelled,CUST001032,80,Male,Enterprise,PROD7690,Laptops Premium,Electronics,Laptops,BrandC,12,1993.92,23927.04,15,3589.06,0.08,1914.16,22252.14,0.2,14049.56,West,Seattle,TX,USA,53228,Chris Martinez,Partner,PayPal,3.7,0,0,NEWCUSTOMER,6,15,4450.428,22252.14
ORD010033,2023-09-22,2023,9,Q3,Friday,38,2023-09-28,2023-10-08,Completed,CUST001033,47,Female,Small Business,PROD9494,Decor Standard,Home & Garden,Decor,BrandC,33,1651.61,54503.13,0,0.0,0.08,4360.25,58863.38,0.29,44120.92,North,Detroit,GA,USA,16764,Emily Brown,Phone,Cash,1.5,0,1,NEWCUSTOMER,6,16,17070.3802,58863.38
ORD010034,2023-10-26,2023,10,Q4,Thursday,43,2023-10-27,2023-11-01,Cancelled,CUST001034,71,Male,Individual,PROD3522,Smart Watches Elite,Electronics,Smart Watches,BrandD,36,37.21,1339.56,15,200.93,0.08,107.16,1245.79,0.38,856.55,South,Dallas,IL,USA,64459,Anna Taylor,Partner,Debit Card,2.8,0,1,SAVE10,1,6,473.4002,1245.79
ORD010035,2025-02-26,2025,2,Q1,Wednesday,9,2025-03-01,2025-03-03,Shipped,CUST001035,36,Other,Government,PROD3434,Non-Fiction Pro,Books,Non-Fiction,BrandD,22,1869.15,41121.3,20,8224.26,0.08,3289.7,36186.74,0.26,25458.72,East,Jacksonville,NC,USA,81228,Chris Martinez,Partner,PayPal,4.5,0,1,SAVE10,3,5,9408.5524,36186.74
ORD010036,2024-08-17,2024,8,Q3,Saturday,33,2024-08-19,2024-08-28,Pending,CUST001036,79,Male,Enterprise,PROD2644,Tablets Premium,Electronics,Tablets,BrandD,43,1586.86,68234.98,25,17058.74,0.08,5458.8,56635.04,0.13,49449.89,West,Denver,CA,USA,28894,Chris Martinez,Retail Store,Credit Card,2.9,0,1,SEASONAL,2,11,7362.555200000001,56635.04
ORD010037,2025-06-02,2025,6,Q2,Monday,23,2025-06-06,2025-06-16,Completed,CUST001037,20,Other,Small Business,PROD5708,Fitness Equipment Standard,Sports,Fitness Equipment,BrandB,41,1440.25,59050.25,30,17715.08,0.08,4724.02,46059.19,0.32,33632.03,West,Seattle,NY,USA,93066,Sarah Johnson,Partner,Debit Card,3.8,0,0,FREESHIP,4,14,14738.9408,46059.19
ORD010038,2023-08-20,2023,8,Q3,Sunday,33,2023-08-26,2023-08-30,Completed,CUST001038,28,Male,Government,PROD4945,Decor Standard,Home & Garden,Decor,BrandD,16,1067.02,17072.32,20,3414.46,0.08,1365.79,15023.65,0.37,9659.24,West,San Francisco,GA,USA,93611,David Wilson,Partner,PayPal,3.7,0,1,SEASONAL,6,10,5558.7505,15023.65
ORD010039,2023-12-02,2023,12,Q4,Saturday,48,2023-12-05,2023-12-10,Completed,CUST001039,42,Female,Small Business,PROD7248,Headphones Standard,Electronics,Headphones,BrandE,45,507.7,22846.5,30,6853.95,0.08,1827.72,17820.27,0.21,12273.92,East,Jacksonville,IL,USA,12875,Chris Martinez,Phone,Credit Card,3.3,0,1,FREESHIP,3,8,3742.2567,17820.27
ORD010040,2024-02-14,2024,2,Q1,Wednesday,7,2024-02-21,2024-02-25,Completed,CUST001040,58,Male,Enterprise,PROD8222,Educational Elite,Books,Educational,BrandA,17,1358.75,23098.75,25,5774.69,0.08,1847.9,19171.96,0.27,15715.41,South,New Orleans,NY,USA,48680,Lisa Garcia,Partner,Debit Card,1.8,1,1,SEASONAL,7,11,5176.4292000000005,19171.96
ORD010041,2024-11-18,2024,11,Q4,Monday,47,2024-11-19,2024-11-28,Pending,CUST001041,79,Male,Small Business,PROD7511,Kitchen Appliances Standard,Home & Garden,Kitchen Appliances,BrandE,48,1742.09,83620.32,30,25086.1,0.08,6689.63,65223.85,0.21,54605.71,West,Seattle,CA,USA,44663,Robert Anderson,Online,Bank Transfer,2.5,0,1,FREESHIP,1,10,13697.0085,65223.85
ORD010042,2023-10-12,2023,10,Q4,Thursday,41,2023-10-16,2023-10-22,Completed,CUST001042,59,Female,Small Business,PROD1742,Shoes Pro,Clothing,Shoes,BrandA,42,135.8,5703.6,30,1711.08,0.08,456.29,4448.81,0.19,3326.76,East,Washington DC,NY,USA,40775,Robert Anderson,Retail Store,Bank Transfer,2.8,1,1,SEASONAL,4,10,845.2739000000001,4448.81
ORD010043,2023-11-29,2023,11,Q4,Wednesday,48,2023-12-03,2023-12-12,Shipped,CUST001043,78,Male,Individual,PROD7018,Fitness Equipment Premium,Sports,Fitness Equipment,BrandE,3,1383.66,4150.98,5,207.55,0.08,332.08,4275.51,0.37,3392.4,West,Seattle,CA,USA,62184,David Wilson,Retail Store,Credit Card,4.8,0,0,SAVE10,4,13,1581.9387000000002,4275.51
ORD010044,2025-04-11,2025,4,Q2,Friday,15,2025-04-12,2025-04-22,Pending,CUST001044,31,Other,Small Business,PROD6383,Fiction Pro,Books,Fiction,BrandB,9,1576.09,14184.81,5,709.24,0.08,1134.78,14610.35,0.34,11378.46,East,Washington DC,IL,USA,28964,Mike Davis,Phone,Debit Card,1.4,0,0,None,1,11,4967.519,14610.35
ORD010045,2024-06-24,2024,6,Q2,Monday,26,2024-06-28,2024-07-08,Completed,CUST001045,25,Other,Government,PROD8344,Accessories Standard,Clothing,Accessories,BrandC,17,114.27,1942.59,25,485.65,0.08,155.41,1612.35,0.25,1020.16,North,Boston,NC,USA,39038,Jennifer Lee,Online,Cash,2.2,0,0,NEWCUSTOMER,4,14,403.0875,1612.35
ORD010046,2024-08-08,2024,8,Q3,Thursday,32,2024-08-09,2024-08-13,Returned,CUST001046,35,Other,Enterprise,PROD7240,Fitness Equipment Premium,Sports,Fitness Equipment,BrandE,6,651.0,3906.0,5,195.3,0.08,312.48,4023.18,0.26,2961.52,West,Los Angeles,MI,USA,66387,Sarah Johnson,Online,Cash,3.9,0,1,NEWCUSTOMER,1,5,1046.0268,4023.18
ORD010047,2024-02-12,2024,2,Q1,Monday,7,2024-02-15,2024-02-21,Cancelled,CUST001047,41,Male,Individual,PROD2494,Sports Clothing Premium,Sports,Sports Clothing,BrandA,47,199.22,9363.34,15,1404.5,0.08,749.07,8707.91,0.13,5477.01,West,Denver,PA,USA,27054,Robert Anderson,Online,Cash,4.8,1,1,None,3,9,1132.0283,8707.91
ORD010048,2024-08-17,2024,8,Q3,Saturday,33,2024-08-19,2024-08-23,Pending,CUST001048,60,Female,Individual,PROD6736,Tools Pro,Home & Garden,Tools,BrandE,23,216.17,4971.91,20,994.38,0.08,397.75,4375.28,0.21,3626.15,East,Charlotte,MI,USA,39643,Chris Martinez,Online,Cash,4.7,0,0,SAVE10,2,6,918.8087999999999,4375.28
ORD010049,2024-03-29,2024,3,Q1,Friday,13,2024-03-30,2024-04-03,Completed,CUST001049,65,Other,Individual,PROD9691,Decor Standard,Home & Garden,Decor,BrandB,10,1136.98,11369.8,15,1705.47,0.08,909.58,10573.91,0.21,7783.39,North,Boston,TX,USA,58503,David Wilson,Phone,Cash,3.4,0,0,SAVE10,1,5,2220.5211,10573.91
ORD010050,2025-03-17,2025,3,Q1,Monday,12,2025-03-20,2025-03-25,Completed,CUST001050,66,Other,Enterprise,PROD8043,Smartphones Standard,Electronics,Smartphones,BrandA,32,1218.08,38978.56,15,5846.78,0.08,3118.28,36250.06,0.18,29128.59,West,Denver,GA,USA,79066,David Wilson,Online,Debit Card,2.6,1,0,None,3,8,6525.010799999999,36250.06
ORD010051,2024-01-19,2024,1,Q1,Friday,3,2024-01-25,2024-02-02,Cancelled,CUST001051,29,Male,Small Business,PROD9196,Kitchen Appliances Elite,Home & Garden,Kitchen Appliances,BrandE,21,248.77,5224.17,15,783.63,0.08,417.93,4858.47,0.35,4090.15,East,Charlotte,NY,USA,62044,John Smith,Partner,Credit Card,2.8,0,1,SEASONAL,6,14,1700.4645,4858.47
ORD010052,2024-09-05,2024,9,Q3,Thursday,36,2024-09-07,2024-09-16,Shipped,CUST001052,71,Other,Individual,PROD8155,Comics Premium,Books,Comics,BrandA,26,51.5,1339.0,10,133.9,0.08,107.12,1312.22,0.17,1019.15,East,Philadelphia,NC,USA,20308,Chris Martinez,Phone,PayPal,1.9,0,0,SEASONAL,2,11,223.0774,1312.22
ORD010053,2025-04-02,2025,4,Q2,Wednesday,14,2025-04-08,2025-04-12,Pending,CUST001053,33,Male,Enterprise,PROD4232,Smart Watches Basic,Electronics,Smart Watches,BrandB,23,1457.48,33522.04,30,10056.61,0.08,2681.76,26147.19,0.28,21651.56,South,Dallas,NY,USA,33218,Anna Taylor,Partner,Cash,4.0,0,1,FREESHIP,6,10,7321.2132,26147.19
ORD010054,2023-11-25,2023,11,Q4,Saturday,47,2023-11-30,2023-12-03,Cancelled,CUST001054,37,Female,Individual,PROD1932,Fitness Equipment Premium,Sports,Fitness Equipment,BrandC,18,1186.93,21364.74,10,2136.47,0.08,1709.18,20937.45,0.35,13044.44,West,Seattle,NY,USA,90610,Jennifer Lee,Partner,Bank Transfer,3.3,0,1,SEASONAL,5,8,7328.1075,20937.45
ORD010055,2025-04-21,2025,4,Q2,Monday,17,2025-04-22,2025-04-29,Completed,CUST001055,80,Other,Small Business,PROD1641,Dresses Basic,Clothing,Dresses,BrandB,10,1915.87,19158.7,15,2873.8,0.08,1532.7,17817.6,0.31,15987.66,West,Phoenix,NC,USA,78517,Jennifer Lee,Retail Store,PayPal,2.5,0,1,NEWCUSTOMER,1,8,5523.455999999999,17817.6
ORD010056,2024-06-04,2024,6,Q2,Tuesday,23,2024-06-07,2024-06-13,Returned,CUST001056,64,Other,Small Business,PROD6461,Fiction Standard,Books,Fiction,BrandA,7,1120.35,7842.45,15,1176.37,0.08,627.4,7293.48,0.27,4685.54,North,Chicago,PA,USA,50662,Chris Martinez,Retail Store,Cash,3.8,0,1,SEASONAL,3,9,1969.2396,7293.48
ORD010057,2024-07-13,2024,7,Q3,Saturday,28,2024-07-16,2024-07-20,Shipped,CUST001057,78,Male,Government,PROD4145,Kitchen Appliances Basic,Home & Garden,Kitchen Appliances,BrandB,33,730.04,24091.32,10,2409.13,0.08,1927.31,23609.5,0.4,15263.15,North,Detroit,IL,USA,23256,Robert Anderson,Online,PayPal,4.5,1,0,SEASONAL,3,7,9443.800000000001,23609.5
ORD010058,2024-07-13,2024,7,Q3,Saturday,28,2024-07-19,2024-07-24,Returned,CUST001058,80,Female,Enterprise,PROD8355,Pants Elite,Clothing,Pants,BrandB,3,827.61,2482.83,25,620.71,0.08,198.63,2060.75,0.26,1427.77,South,Houston,GA,USA,35430,Lisa Garcia,Partner,Bank Transfer,4.1,0,1,SAVE10,6,11,535.7950000000001,2060.75
ORD010059,2024-01-14,2024,1,Q1,Sunday,2,2024-01-20,2024-01-30,Shipped,CUST001059,72,Male,Individual,PROD3626,Non-Fiction Standard,Books,Non-Fiction,BrandC,24,1113.54,26724.96,0,0.0,0.08,2138.0,28862.96,0.23,21762.84,North,Detroit,OH,USA,22021,Emily Brown,Partner,PayPal,4.7,0,0,NEWCUSTOMER,6,16,6638.4808,28862.96
ORD010060,2024-11-19,2024,11,Q4,Tuesday,47,2024-11-26,2024-12-03,Pending,CUST001060,68,Male,Individual,PROD5700,Kitchen Appliances Premium,Home & Garden,Kitchen Appliances,BrandD,15,66.09,991.35,0,0.0,0.08,79.31,1070.66,0.31,686.98,North,Chicago,GA,USA,68799,Jennifer Lee,Online,Credit Card,1.1,0,0,SEASONAL,7,14,331.9046,1070.66
ORD010061,2025-03-08,2025,3,Q1,Saturday,10,2025-03-12,2025-03-21,Cancelled,CUST001061,22,Male,Individual,PROD9443,Comics Pro,Books,Comics,BrandE,20,252.48,5049.6,5,252.48,0.08,403.97,5201.09,0.17,3344.68,East,Washington DC,OH,USA,10205,Jennifer Lee,Phone,Debit Card,3.3,0,0,SEASONAL,4,13,884.1853000000001,5201.09
ORD010062,2024-06-27,2024,6,Q2,Thursday,26,2024-06-30,2024-07-06,Shipped,CUST001062,65,Male,Individual,PROD6649,Smart Watches Basic,Electronics,Smart Watches,BrandB,31,96.63,2995.53,15,449.33,0.08,239.64,2785.84,0.32,2196.57,North,Detroit,MI,USA,53583,Mike Davis,Online,PayPal,3.2,0,1,NEWCUSTOMER,3,9,891.4688000000001,2785.84
ORD010063,2025-03-31,2025,3,Q1,Monday,14,2025-04-02,2025-04-04,Returned,CUST001063,38,Female,Government,PROD9897,Pants Pro,Clothing,Pants,BrandD,19,411.17,7812.23,30,2343.67,0.08,624.98,6093.54,0.18,5033.19,West,Los Angeles,FL,USA,47501,Lisa Garcia,Online,PayPal,2.1,0,1,NEWCUSTOMER,2,4,1096.8372,6093.54
ORD010064,2024-09-16,2024,9,Q3,Monday,38,2024-09-19,2024-09-22,Completed,CUST001064,64,Female,Government,PROD3956,Sports Clothing Elite,Sports,Sports Clothing,BrandE,24,1849.38,44385.12,20,8877.02,0.08,3550.81,39058.91,0.19,24637.55,West,Denver,PA,USA,96628,David Wilson,Phone,Bank Transfer,3.4,0,0,NEWCUSTOMER,3,6,7421.192900000001,39058.91
ORD010065,2024-06-17,2024,6,Q2,Monday,25,2024-06-18,2024-06-26,Pending,CUST001065,41,Other,Individual,PROD3339,Fitness Equipment Standard,Sports,Fitness Equipment,BrandE,41,1960.25,80370.25,0,0.0,0.08,6429.62,86799.87,0.3,63489.93,West,Seattle,TX,USA,18812,Emily Brown,Phone,PayPal,2.5,1,0,SEASONAL,1,9,26039.961,86799.87
ORD010066,2023-11-28,2023,11,Q4,Tuesday,48,2023-12-02,2023-12-09,Pending,CUST001066,59,Female,Individual,PROD1424,Sports Clothing Standard,Sports,Sports Clothing,BrandB,37,284.01,10508.37,10,1050.84,0.08,840.67,10298.2,0.25,7374.5,West,Los Angeles,NC,USA,25435,David Wilson,Phone,Bank Transfer,1.9,1,1,NEWCUSTOMER,4,11,2574.55,10298.2
ORD010067,2024-01-14,2024,1,Q1,Sunday,2,2024-01-21,2024-01-28,Completed,CUST001067,60,Female,Enterprise,PROD5914,Laptops Pro,Electronics,Laptops,BrandB,46,895.77,41205.42,0,0.0,0.08,3296.43,44501.85,0.31,39081.41,West,San Francisco,TX,USA,57381,Robert Anderson,Retail Store,Credit Card,4.9,0,0,NEWCUSTOMER,7,14,13795.573499999999,44501.85
